// methanol
// cyclohexane
// 1,4-dioxane

MM = [
32.04
84.16
88.11
];

T = 298.63;

Z = [
0.47446	0.52103	0.00451
0.47395	0.51525	0.0108
0.47395	0.5103	0.01575
0.46655	0.51525	0.0182
0.46655	0.5131	0.02035
0.46355	0.5099	0.02655
0.46415	0.50605	0.0298
0.46935	0.4988	0.03185
0.46525	0.4942	0.04055
0.4682	0.4878	0.044
0.4603	0.4833	0.0564
];

X1 = [
0.81402	0.1812	0.00478
0.8029	0.1856	0.0115
0.7918	0.1914	0.0168
0.7766	0.2041	0.0193
0.7747	0.2036	0.0217
0.747	0.2252	0.0278
0.7312	0.237	0.0318
0.7271	0.2394	0.0335
0.6788	0.2784	0.0428
0.6659	0.2882	0.0459
0.5446	0.3971	0.0583
];

X2 = [
0.1349	0.86086	0.00424
0.145	0.8449	0.0101
0.1561	0.8292	0.0147
0.1565	0.8264	0.0171
0.1584	0.8226	0.019
0.1801	0.7946	0.0253
0.1971	0.7751	0.0278
0.2116	0.7582	0.0302
0.2517	0.71	0.0383
0.2705	0.6874	0.0421
0.376	0.5695	0.0545
];

// H. Katayama, Fluid Phase Equilibria 164 (1999) 83–95. DOI: 10.1016/S0378-3812(99)00241-1

